제목,날짜,abstract
미술치료학개론 교재의 내용 분석과 개선방안,2022.10,"본 연구는 미술치료사 양성 교육에 기본이 되는 입문서인 '미술치료학개론'의 교재 분석을 통하여 현재 대학 및 대학원에서 사용하고 있는 교재들의 전반적인 내용과 구성을 살펴보고, 효과적이고 체계적인 교육 과정의 개발과 향후 미술치료학 개론서의 개선 방향을 제시하는데 목적이 있다.  연구 대상은 국내 소재 대학 및 대학원에서 사용되는 7권의 교재를 선정하였으며, 연구 결과로 발달재활서비스 미술 심리 재활 영역의 인정 기준인 미술치료학개론의 교수요목을 기반으로 분석 틀을 설정하여 개론서의 내용을 비교․분석하였다.  연구의 결과, 개론서는 미술치료의 전체적인 내용들을 다루면서도 저자의 관심과 성향, 발행 연도 등에 따라 담고 있는 내용과 그 구성이 다양한 것으로 나타났다.  이러한 연구 결과를 바탕으로 향후 개론서 집필에서 포함되어야 할 내용과 미술치료학 교육 과정 개발을 위한 방향성을 제시하고, 처음으로 시도된 미술치료학개론 교재의 내용 분석 연구로서의 의의와 제한점에 대하여 논의하였다. This study examined the overall content and composition of the textbooks currently used in universities and graduate schools through the analysis of textbooks for the Introduction to Art Therapy course, an introductory course for educating art therapists."
미술치료의 인지기능 영역에 대한 효과: 메타분석,2022.10,"본 연구는 미술치료의 인지기능 영역에 대한 효과를 확인하여 객관적인 근거기반의 자료를 제공하기 위한 목적으로 메타분석을 수행하였다.  이를 위해 2005년 1월부터 2021년 5월까지 국내 출판 실험 연구 167편을 확인하고, PICOT-SD를 활용한 체계적 고찰을 통해 32편의 연구대상을 확정하였다.  이후 메타분석에 필요한 자료가 모두 포함된 18편의 연구를 재선정하여 88개의 분석 자료를 추출하였고, 수집된 자료는 SPSS 26. 0 / CMA 3. 0 프로그램으로 분석하였다."
"해결중심 집단미술치료가 전문대학 예비졸업생의 진로정체감, 진로적응성, 취업스트레스에 미치는 효과",2022.12,"본 연구는 전문대학 예비졸업생에게 해결중심 집단미술치료(Solution-Focused Group Art Therapy)를 실시하여 진로정체감, 진로적응성, 취업스트레스에 미치는 효과를 알아보는 데 목적이 있다.  이를 위해 본 연구는 K시 소재 D 전문대학 남녀 예비 졸업생 중 연구 참여에 동의한 31명을 실험집단에 15명, 대기통제집단에 16명으로, 무선 할당하였다.  두 집단 모두 해결중심 집단미술치료를 주 2회 1회기 당 120분간 8회기로 진행하였다.  진로정체감 척도, 진로적응성 척도, 취업 스트레스 척도를 사용하여 해결중심 집단미술치료 효과 및 유지를 확인했다.  반복측정변량분석 결과, 첫째, 해결중심 집단미술치료가 전문대학 예비졸업생의 진로정체감을 유의미하게 향상시켰으며 사후(8주)검사에서도 효과가 유지되었다."
보호시설 거주 가정폭력 피해 여성의 집단미술치료 사례연구 - 우울 및 불안 감소를 중심으로 -,2022.12,"본 연구의 목적은 보호시설 거주 가정폭력 피해 여성의 우울 및 불안 감소를 위한 집단미술치료의 개입 가능성을 모색하는 데 있다.  집단미술치료는 2019년 2월 26일부터 5월 14일까지 주 1회, 120분, 총 8회기와 사전·사후검사로 진행되었다.  연구 자료 수집 및 분석은 연구자의 활동일지, 보조치료사의 행동·정서 관찰일지, 사전·사후 우울과 불안검사 비교, 나무그림검사를 해석하여 결과를 도출하였다.  연구 결과는 첫째, 연구 대상은 회기별 과정에서 편안한 정서의 경험을 스스로 획득하고 안전감 확보의 중요성을 인식하게 되었다.  이러한 인식은 미술 활동을 통해 가정폭력의 기억을 재구성하고 공감하면서 자신에 대한 새로운 자각을 가능하게 하였으며 자율적 작업에서 상호 협력하고 지지하는 관계로 확장되어 연구 대상간의 안전감을 강화시켰다."
자폐스펙트럼장애 아동과 모(母)의 상호작용 미술치료 사례연구,2022.8,"본 연구는 사회적 의사소통 및 상호작용 결함을 보이는 자폐스펙트럼장애(Autism Spectrum Disorder: ASD) 아동을 대상으로 미술치료를 실시하여 모(母)와의 상호작용에 미치는 영향을 알아보는 것에 목적이 있다.  연구 대상 아동 A는, 3세 이전에 자폐성 장애 2급을 진단받은 만 8세 남아로, 2020년 8월부터 10월까지 주 1?2회 50분씩 총 15회기에 걸쳐 모-자(母-子) 상호작용 미술 치료프로그램을 실시하였다.  측정 도구로는 회기별 상호작용 측정을 위해 Marschak 행동평정척도(Marschak Behavior Rating Scale: MBRS)를 사용하였으며 사전, 사후검사로 MIM 평정척도를 실시하였다.  이와 같은 방법으로 분석한 연구 결과는 다음과 같다.  첫째, 미술치료는 자폐스펙트럼장애 아동과 모(母)의 상호작용에 긍정적인 영향을 미치는 것으로 나타났다."
심리치료사의 자기 돌봄을 위한 포커싱 집단미술치료 체험에 관한 현상학적 연구,2022.8,"본 연구는 심리치료사의 자기 돌봄을 위한 포커싱 집단미술치료 체험에 관한 본질과 의미를 이해하고자 하였다.  연구참여자는 심리치료 관련 박사학위 과정 재학 이상이며 경력 6년 이상의 심리치료사 5명으로 자료의 수집은 사전면담과 10회기의 집단미술치료, 사후면담으로 이루어졌다.  van Manen의 해석학적 현상학적 방법에 따라 분석한 결과 총 22개의 하위 주제와 6개의 본질적 주제가 도출되었다.  연구 결과는 첫째, 참여자들은 심리치료사로서 자신들이 처한 물리적, 정서적인 요인으로 인해 힘들고 지친 상태로 꾸준한 자기 돌봄이 필요하다.  둘째, 참여자들은 감각느낌과 감각전환을 통해 자신에게 집중하여 내면을 들여다보고 자신의 문제를 인식하고 해결방안을 찾아 나아갈 수 있었다."
미술치료사의 COVID-19 우울에 대한 자기치유를 위한 자전적 미술치료 내러티브탐구,2022.8,"본 연구는 미술치료사의 COVID-19 우울에 대한 자기치유에 관한 내러티브 탐구(Narrative inquiry)이다.  자기치유는 2021년 5월부터 8월까지 자기치유 계획에 따른 미술 작업 14회기를 진행하였다.  목표는 '심리적 증상 탐색', '자기탐색', '창조성과 자아통합', '기원'으로 나누었다.  연구방법은 내러티브 탐구로 미술치료를 통해 수집된 자료로서 연구일지, 사진, 문서, 작품 등이 있다.  현장 텍스트부터 나온 이야기는 4개의 주제로 'COVID-19로 인한 혼란과 고립감' '나의 감정바라보기', '자유를 위한 시도', '재탄생' 이다."
경증치매 노인의 우울 완화를 위한 회상중심 미술치료 질적 사례 연구,2022.6,"본 연구의 목적은 경증치매를 진단받은 노인이 우울 완화를 위한 회상중심 미술치료 과정에서 어떠한 경험을 하였고, 그 경험의 의미는 무엇인지 살펴보는 데 있다.  연구의 참여자는 2020년 10월, 경증치매를 진단받은 만 82세 여성으로 2021년 5월 4일부터 2021년 6월 8일까지 주 2회, 60분간 총 11회기의 미술치료에 참여하였다.  연구를 위한 미술치료 프로그램은 회상요법을 바탕으로 에릭슨의 심리사회적 발달단계 모델을 참고하여 구성되었다.  연구 참여자의 미술 작품, 매 회기 녹음을 전사한 축어록, 임상일지 등 다양한 방법으로 수집한 자료를 Creswell의 질적 연구 자료 분석 방법 5단계를 적용하여 분석한 결과, 참여자의 미술치료 경험은 총 4개의 상위 주제와 14개의 하위 주제로 도출되었다.  상위 주제는 <자신의 삶에 담긴 깊은 슬픔과 고통을 인식함>, <삶의 긍정적 회고를 통해 마음을 정화함>, <자신의 삶을 수용하며 긍정적으로 재평가함>, <앞으로 다가올 미래에 가치를 부여함>이다."
개방집단미술치료에 참여한 학대피해아동쉼터 입소자들의 내러티브 탐구,2022.6,"본 연구는 학대피해아동쉼터 입소자들의 긍정적인 관계 경험을 위한 개방집단미술치료 경험을 이해하는데 목적이 있다.  이를 위해 Clandinin와 Connelly(2000)의 내러티브 탐구방법을 선택하여 학대피해아동쉼터 입소자들의 개방집단미술치료 경험 이야기와 경험의 의미를 살펴보았다.  연구 절차는 2018년 12월부터 2019년 1월까지 학대피해아동쉼터에서 개방집단미술치료를 실시하였고, 참여했던 네 명의 입소자 중 두 명을 연구 참여자로 선정하였다.  연구분석 자료는 개방집단미술치료 녹취 및 치료일지, 연구일지, 참여자의 미술치료 작품, 개별인터뷰 녹음자료, 사례회의록, 가족 회의록, 입소자 보육일지, 연구 참여자들의 개방집단미술치료 경험에 대한 5회 개별인터뷰 등이다.  그 결과 발견한 것은 첫째, 연구자는 연구참여자들의 경험 이야기를 통해 외상의 아픔을 이겨내고 성장해가는 과정과 연결됨을 경험하였다."
특수학교 장애아동을 위한 미술치료 프로그램 개발 연구 -경기도 소재 자혜학교를 중심으로-,2022.4,"본 연구는 특수학교 장애아동을 위한 미술치료 프로그램을 개발하고 그 적용 가능성을 탐색하기 위해 2021년 1월부터 2022년 2월까지 경기도 소재 자혜학교 2학년 반 학생(자폐성 장애 3명, 지적장애 2명, 남 4명, 여 1명)을 대상으로 진행하였다.  본 연구를 통해 얻은 결론은 첫째, 특수학교 미술치료 프로그램의 목표 설정을 위해, 장애아동의 특성뿐 아니라, 학교의 요구, 학급의 요구, 학부모의 요구를 탐색하고 수용할 필요가 있다.  둘째, 회기의 구조는 시작하고 마무리하는 과정에서 눈 마주치기, 노래하며 자리에 앉기, 하이파이브 등을 반복하여 참여자의 안정감을 높일 수 있다.  셋째, 프로그램의 구성은 다양한 미술매체를 활용한 놀이 활동과 이들의 표현 발달을 촉진할 수 있는 자유화 그리기로 구성하였다.  본 프로그램에 참여한 아동들은 미술치료 과정에서 몰입과 즐거움을 경험하였으며, 표현발달과 문제행동에 변화를 보여주었다."
미술치료에서 선화(Line Drawing)의 운동성이 갖는 치료적 메커니즘 고찰,2022.9,"미술에서 선은 단시간내에 대상의 핵심을 드러내며, 미술치료에서는 내담자의 심리적 상태를 진단하고 치료적으로 개입할 수 있는 매개체가 된다.  그러나 선 그리기, 즉 선화(line drawing)는 진단뿐 아니라 과정상에서 치료적 중요성을 지님에도 불구하고 그 효용성과 치료적 특성을 고찰한 연구는 활발히 이루어지지 못했다.  따라서 본 연구에서는 미술치료에서 선화와 연관된 국내외 문헌을 이론 삼각검증, 질적 내용분석, 공통부분 찾아내기를 통해 우선 도출한다.  그 결과 선화의 핵심적인 치료적 요소인 운동성을 뇌 구조와 연결하여 살펴본다.  이를 통해 선화의 운동성이 신체, 뇌, 마음에 미치는 치료적 메커니즘을 고찰하고 미술치료 안에서 어떻게 치료적으로 활용 가능한가를 검토 및 제안하는 데 학문적 의의를 둔다."
"메타버스 플랫폼을 활용한 미술치료: 개념, 잠정적 정의, 국내 사례를 중심으로",2022.11,"본 연구는 메타버스 플랫폼을 활용한 미술치료의 개념과 잠정적 정의에 대해 논의하고 메타버스 플랫폼 기반 국내 미술 치료적 개입 사례들을 소개하며 메타버스 플랫폼을 활용한 미술치료에 대한 이해를 도모하는 데 목적이 있다.  이를 위해 메타버스 플랫폼의 필수 불가결한 요소들인 가상공간과 디지털 매체의 치유적 함의에 대해 논의하고, 메타버스 플랫폼 내에서 가능한 미술치료 임상의 범위를 제안했으며, 이를 바탕으로 메타버스 플랫폼을 활용한 미술치료의 잠정적 정의를 제시했다.  가상의 실재감과 익명성이 특징인 가상공간에서 디지털 매체의 활용은 개인의 무의식에 존재하는 감각적인 경험과 비현실적인 요소들의 통합이 가능케 하기에, 메타버스에서 치료사 혹은 내담자가 치유적 공간을 만들고 그 안에서 재창조된 존재로서 회복하고 성장할 수 있는 창조적 기회들을 제공한다.  메타버스, 가상공간 및 디지털 미디어의 특징 및 치유적 기능에 대한 이해를 바탕으로, 본 연구에서는 메타버스 플랫폼을 활용한 미술치료를 '메타버스에 구현된 가상공간에서 디지털로 변환되거나 디지털 매체를 통해 제작된 치유적 성격을 가진 예술 미디어를 활용하여 미술치료사와 내담자가 상호작용을 하고, 내담자가 자신의 욕구, 감정, 생각들의 표현을 촉진하며, 자기이해 및 성장을 도모하는 치유적 경험을 제공하는 개입'으로 정의한다.  본 잠정적 정의에 포함되는 미술 치료적 개입들을 실시한 국내 사례들을 살펴본 결과 메타버스 플랫폼에서 이루어진 미술 치료적 개입들을 경험한 사람들은치료적 성격을 띈 디지털 미디어와의 창의적, 역동적 상호작용을 통해 개인적, 공동체적 치유의 경험을 할 수 있음을 확인했다."
